"SM Higgs cross section and associated uncertainties at 7 TeV       ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Total Cross Section",,,,,"Branching Ratios",,,,,,,,,,,,,,,,,,,,,,,,,,,"SM Higgs σxBR [pb] at 7 TeV",,,,,,,,,,,,,,,,,
"ggF (CPS)",,,,,,,"VBF (CPS)",,,,,,,"WH (ZWA)",,,,,,,,,"ZH (ZWA)",,,,,,,,"ttH (ZWA)",,,,,,,"bbH (ZWA)",,,,,,,ggF+VBF+WH+ZH+ttH+bbH,ggF+VBF+WH+ZH,ggF+VBF,VBF+WH+ZH,,," H → 2 fefmions",,,,,,"H → VV (gauge bosons)",,,,,"H → 4 fermions",,,,,,,,,,,,,,,,WH→lνbb,ZH→llbb,ZH→ννbb,ttHH→ttbb,ttHH→ttττ,ttHH→ttγγ,H→ττ,,H→μμ,H→γγ,H→Zγ,H→WW→lνlν,H→WW→lνqq,H→ZZ→llll,H→ZZ→llvv,H→ZZ→llqq,H→lνlν
MH,Cross,Scale,,PDF+αs,,,MH,Cross,Scale,,PDF+αs,,,MH,Cross,Scale,,PDF+αs,,W+H,W-H,,MH,Cross,Scale,,PDF+αs,,gg→ZH,,MH,Cross,Scale,,PDF+αs,,,MH,Cross,Scale,,PDF+αs,,,Cross,Cross,Cross,Cross,,MH," H → bb"," H → ττ"," H → μμ"," H → cc"," H → ss"," H → tt"," H → gg"," H → γγ"," H → Zγ"," H → WW"," H → ZZ"," H → l+l-l+l-"," H → l+l-l+l-"," H → e+e-e+e-"," H → e+e-μ+μ-"," H → l+ l- νl νl"," H → l+ l- νl νl"," H → e+ νe e- νe"," H → e+ νe μ- νμ"," H → l+ l- q q"," H → l+ l- q q"," H → l+ νl q q (*)"," H → νl νl q q"," H → qqqq"," H → ffff",,MH,σ(WH),σ(ZH),σ(ZH),,,,,,,,,"(l=e,μ)","(l=e,μ, q=udcsb)","(l=e,μ)","(l=e,μ, ν=any)","(l=e,μ, q=udcsb)","(l=e,μ, ν=any)"
,Section,up,down,up,down,,,Section,up,down,up,down,,,Section,up,down,up,down,σ,σ,,,Section,up,down,up,down,"(box diag.)",,,Section,up,down,up,down,,,Section,up,down,up,down,,Section,Section,Section,Section,,,,,,,,,,,,,," l=e,μ,τ"," l=e,μ",,," l = e, μ or τ"," l = e or μ",,," l = e,μ or τ"," l = e orμ"," l = e or μ"," ν = any"," q = udcsb"," f = any type",,,×BR(W→lν),×BR(Z→ll),×BR(Z→νν),σ(ttH),σ(ttH),σ(ttH),σ(VBF),"σ(ggF+VBF+WH+ZH+ttH+bbH) for MH≤400GeV, σ(ggF+VBF) for MH>400GeV",,,,,,,,,
[GeV],[pb],[%],[%],[%],[%],,[GeV],[pb],[%],[%],[%],[%],,[GeV],[pb],[%],[%],[%],[%],[pb],[pb],,[GeV],[pb],[%],[%],[%],[%],[fb],,[GeV],[pb],[%],[%],[%],[%],,[GeV],[pb],[%],[%],[%],[%],,[pb],[pb],[pb],[pb],,[GeV],,,,,,,,,,,,,,,,"ν = any","ν = any",,,"q = udcsb","q = udcsb","q = udcsb","q = udcsb",,"of fermion",,[GeV],×BR(H→bb),×BR(H→bb),×BR(H→bb),×BR(H→bb),×BR(H→ττ),×BR(H→γγ),×BR(H→ττ),×BR(H→ττ),×BR(H→μμ),×BR(H→γγ),×BR(H→Zγ),×BR(H→WW),×BR(H→lνqq),×BR(H→llll),×BR(H→ZZ),×BR(H→llqq),×BR(H→lνlν)
80,36.5934,8.3,-8.8,7.8,-6.7,,80,1.914,0.6,-0.2,2.1,-2.1,,80,2.341,1,1,2.3,2.3,1.461,0.8794,,80,1.244,1.8,1.8,2.3,2.3,36.64,,80,0.2897,4.3,-9.8,8.3,-8.3,,80,0.680344,14.0833,-20.4085,6.37914,6.37914,,43.062444,42.0924,38.5074,5.499,,80,0.824,0.0827,0.000287,0.0418,0.000353,0,0.0494,0.000918,0,0.000627,0.000164,1.98E-06,9.44E-07,2.86E-07,3.73E-07,6.28E-05,2.72E-05,4.71E-06,7.35E-06,2.35E-05,1.57E-05,9.2E-05,4.71E-05,0.000323,0.000743,,80,0.416660544,0.069002669696,0.2050112,0.2387128,0.02395819,0.0002659446,0.1582878,3.5612641188,0.012358921428,0.039531323592,0,0.00125971910981,0.007923489696,4.0650947136E-05,0.00019016072111,0.0006760803708,0.0011712984768
81,35.7127,8.3,-8.8,7.8,-6.7,,81,1.894,0.6,-0.2,2.1,-2.1,,81,2.258,0.9,0.9,2.3,2.3,1.409,0.8473,,81,1.203,1.8,1.8,2.3,2.3,36.29,,81,0.2812,4.3,-9.8,8.3,-8.3,,81,0.655996,14.025,-20.2245,6.38799,6.38799,,42.004896,41.0677,37.6067,5.355,,81,0.823,0.0827,0.000288,0.0417,0.000352,0,0.0505,0.000946,0,0.000696,0.000181,2.17E-06,1.04E-06,3.13E-07,4.1E-07,6.98E-05,3.02E-05,5.25E-06,8.17E-06,2.58E-05,1.72E-05,0.000102,5.17E-05,0.000359,0.000824,,81,0.401400144,0.066647484804,0.1980138,0.2314276,0.02325524,0.0002660152,0.1566338,3.4738048992,0.012097410048,0.039736631616,0,0.00136400717773,0.008568998784,4.368509184E-05,0.00020471835433,0.0007224842112,0.0012685478592
82,34.8635,8.3,-8.8,7.8,-6.7,,82,1.871,0.6,-0.2,2.1,-2.1,,82,2.179,0.9,0.9,2.3,2.3,1.363,0.8176,,82,1.163,1.8,1.8,2.4,2.4,35.94,,82,0.2729,4.3,-9.8,8.3,-8.3,,82,0.632139,13.965,-20.0428,6.39748,6.39748,,40.981539,40.0765,36.7345,5.213,,82,0.821,0.0828,0.000288,0.0416,0.000352,0,0.0517,0.000974,0,0.000774,0.000199,2.38E-06,1.14E-06,3.43E-07,4.5E-07,7.76E-05,3.36E-05,5.87E-06,9.07E-06,2.83E-05,1.89E-05,0.000113,5.67E-05,0.000399,0.000915,,82,0.386415144,0.064274865068,0.1909646,0.2240509,0.02259612,0.0002658046,0.1549188,3.3932714292,0.011802683232,0.039916018986,0,0.00147991484509,0.009261827814,4.671895446E-05,0.00021959357703,0.0007745510871,0.0013769797104
83,34.0445,8.3,-8.8,7.8,-6.7,,83,1.853,0.6,-0.2,2.1,-2.1,,83,2.104,0.9,0.9,2.3,2.3,1.315,0.7888,,83,1.125,1.8,1.8,2.4,2.4,35.61,,83,0.265,4.3,-9.8,8.4,-8.4,,83,0.608759,13.9041,-19.8631,6.40766,6.40766,,40.000259,39.1265,35.8975,5.082,,83,0.82,0.0829,0.000288,0.0416,0.000351,0,0.0528,0.001,0,0.000861,0.000218,2.61E-06,1.24E-06,3.75E-07,4.93E-07,8.64E-05,3.74E-05,6.58E-06,1.01E-05,3.1E-05,2.07E-05,0.000126,6.22E-05,0.000444,0.00102,,83,0.37266048,0.06209901,0.1845,0.2173,0.0219685,0.000265,0.1536137,3.3160214711,0.011520074592,0.040000259,0,0.00160684304424,0.010080065268,4.960032116E-05,0.00023479972832,0.0008280053613,0.0014960096866
84,33.2548,8.3,-8.8,7.8,-6.7,,84,1.833,0.6,-0.2,2.1,-2.1,,84,2.031,0.9,0.9,2.3,2.3,1.271,0.7604,,84,1.087,1.8,1.8,2.4,2.4,35.27,,84,0.2573,4.2,-9.8,8.4,-8.4,,84,0.585844,13.8418,-19.6849,6.41863,6.41863,,39.048944,38.2058,35.0878,4.951,,84,0.819,0.083,0.000288,0.0415,0.000351,0,0.054,0.00103,0,0.000961,0.00024,2.85E-06,1.36E-06,4.1E-07,5.4E-07,9.64E-05,4.17E-05,7.4E-06,1.13E-05,3.4E-05,2.27E-05,0.000141,6.82E-05,0.000496,0.00113,,84,0.359292024,0.059928270948,0.1780506,0.2107287,0.0213559,0.000265019,0.152139,3.241062352,0.011246095872,0.04022041232,0,0.00175081469754,0.011011802208,5.310656384E-05,0.00025234739657,0.0008864110288,0.0016283409648
85,32.491,8.3,-8.8,7.8,-6.7,,85,1.814,0.6,-0.2,2.1,-2.1,,85,1.963,0.9,0.9,2.3,2.3,1.228,0.7338,,85,1.052,1.8,1.8,2.4,2.4,34.93,,85,0.2498,4.2,-9.8,8.4,-8.4,,85,0.563384,13.7771,-19.5082,6.43047,6.43047,,38.133184,37.32,34.305,4.829,,85,0.817,0.083,0.000289,0.0414,0.00035,0,0.0551,0.00106,0,0.00108,0.000263,3.12E-06,1.49E-06,4.49E-07,5.92E-07,0.000108,4.68E-05,8.36E-06,1.26E-05,3.73E-05,2.49E-05,0.000158,7.47E-05,0.000554,0.00126,,85,0.346414536,0.057857024944,0.1718968,0.2040866,0.0207334,0.000264788,0.150562,3.165054272,0.011020490176,0.04042117504,0,0.00192147317932,0.012050086144,5.681844416E-05,0.00027004560317,0.0009495162816,0.0017846330112
86,31.7537,8.3,-8.8,7.8,-6.7,,86,1.794,0.6,-0.2,2.1,-2.1,,86,1.896,0.9,0.9,2.3,2.3,1.187,0.7081,,86,1.019,1.9,1.9,2.4,2.4,34.59,,86,0.2426,4.2,-9.7,8.4,-8.4,,86,0.543961,13.6206,-19.3689,6.42533,6.42533,,37.249261,36.4627,33.5477,4.709,,86,0.816,0.0831,0.000289,0.0413,0.000349,0,0.0563,0.00109,0,0.00121,0.000288,3.42E-06,1.63E-06,4.91E-07,6.49E-07,0.000122,5.27E-05,9.51E-06,1.42E-05,4.08E-05,2.72E-05,0.000177,8.19E-05,0.000622,0.00142,,86,0.334181376,0.055973523264,0.1663008,0.1979616,0.02016006,0.000264434,0.1490814,3.0954135891,0.010765036429,0.04060169449,0,0.00210286084067,0.013186238394,6.071629543E-05,0.0002888606884,0.0010131798992,0.0019630360547
